participantId,task,duration_sec,format
67d00f24466a67ba7e41228e,reading-task-tabular-4,103.308,toml
67d00f24466a67ba7e41228e,reading-task-tabular-4_post-task-question,4.703,toml
67d00f24466a67ba7e41228e,reading-task-tabular-5,104.44,toml
67d00f24466a67ba7e41228e,reading-task-tabular-5_post-task-question,3.963,toml
67d00f24466a67ba7e41228e,writing-task-tabular,2118.9176512128515,toml
67d00f24466a67ba7e41228e,writing-task-tabular_post-task-question,24.929,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-1,442.674,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-1_post-task-question,6.538,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-2,126.576,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-2_post-task-question,7.171,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-3,211.264,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-3_post-task-question,10.283,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-4,185.451,toml
67d00f24466a67ba7e41228e,modifying-task-tabular-4_post-task-question,4.226,toml
67d00f24466a67ba7e41228e,$nasa-tlx.co.nasa-tlx,18.194,toml
67d00f24466a67ba7e41228e,post-task-survey-tlx,72.162,toml
66475d6f7b27e4443ef0d031,introduction,8.342,json
66475d6f7b27e4443ef0d031,qualifications,8.69,json
66475d6f7b27e4443ef0d031,consent,18.966,json
66475d6f7b27e4443ef0d031,task,18.482,json
66475d6f7b27e4443ef0d031,writing-task-NL,106.059,json
66475d6f7b27e4443ef0d031,writing-task-NL_post-task-question,7.243,json
66475d6f7b27e4443ef0d031,tutorial-part1,87.228,json
66475d6f7b27e4443ef0d031,tutorial-part2,81.036,json
66475d6f7b27e4443ef0d031,reading-task-tabular-1,99.864,json
66475d6f7b27e4443ef0d031,reading-task-tabular-1_post-task-question,8.163,json
66475d6f7b27e4443ef0d031,reading-task-tabular-2,19.687,json
66475d6f7b27e4443ef0d031,reading-task-tabular-2_post-task-question,3.682,json
66475d6f7b27e4443ef0d031,reading-task-tabular-3,14.311,json
66475d6f7b27e4443ef0d031,reading-task-tabular-3_post-task-question,5.077,json
66475d6f7b27e4443ef0d031,reading-task-tabular-4,23.407,json
66475d6f7b27e4443ef0d031,reading-task-tabular-4_post-task-question,4.199,json
66475d6f7b27e4443ef0d031,reading-task-tabular-5,29.649,json
66475d6f7b27e4443ef0d031,reading-task-tabular-5_post-task-question,5.922,json
66475d6f7b27e4443ef0d031,writing-task-tabular,107.24973411155378,json
66475d6f7b27e4443ef0d031,writing-task-tabular_post-task-question,5.076,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-1,85.266,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-1_post-task-question,6.586,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-2,71.794,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-2_post-task-question,4.024,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-3,50.12,json
66475d6f7b27e4443ef0d031,modifying-task-tabular-3_post-task-question,4.556,json
